current_square: 8
current_direction: 0.1 -0.1

0 2.0 0.1 0.1 PLAYER
//-2 -36.3 0.1 0.1 PLAYER

0 0.0 2 0.5 BLOCK
0 -3.5 0.5 2 BLOCK
0.5 -3.5 0.1 2 LOSE


1 -8.5 0.5 2 BLOCK
0.5 -8.5 0.1 2 LOSE

0 -13.5 0.5 2 BLOCK
0.5 -13.5 0.1 2 LOSE

1 -18.5 0.5 2 BLOCK
0.5 -18.5 0.1 2 LOSE
// shorter blocks

0 -22.5 0.5 1 BLOCK
0.5 -22.5 0.1 1 LOSE

-0.5 -25.5 0.5 1 BLOCK
0.0 -25.5 0.1 1 LOSE

-1.0 -28.5 0.5 1 BLOCK
-0.5 -28.5 0.1 1 LOSE

-1.5 -31 0.5 0.5 BLOCK
-1 -31 0.1 0.5 LOSE

-2 -33 0.5 0.5 BLOCK
-1.5 -33 0.1 0.5 LOSE

-2.5 -35 0.5 0.5 BLOCK
-2 -35 0.1 0.5 LOSE

-2.5 -37 7 0.5 BLOCK

-2.5 -38 0.5 0.5 WIN

-5.5 -37 0.2 0.7 LOSE
0.5 -37 0.2 0.7 LOSE

-8.5 -37 0.2 0.7 LOSE
 2.5 -37 0.2 0.7 LOSE

