current_square: 8
current_direction: 0.1 0.0

1 1.0 0.1 0.1 PLAYER
9 0.0 10 0.5 BLOCK

4 0.5 0.2 0.05 LOSE

6 0.5 0.2 0.05 LOSE

10 0.5 0.2 0.05 LOSE

12 0.5 0.2 0.05 LOSE

14 0.5 0.2 0.05 LOSE


TRANSLATE 22 0

5 2 10 0.5 BLOCK


7 0 10 0.5 BLOCK

-4 0.5 1 0.05 LOSE
-1 1.5 1 0.05 LOSE
-1 2.5 0.5 0.05 LOSE

2 0.5 1 0.05 LOSE

5 1.5 1 0.05 LOSE
5 2.5 0.5 0.05 LOSE

7 0.5 1 0.05 LOSE
9 1.5 1 0.05 LOSE
9 2.5 0.5 0.05 LOSE

11 0.5 1 0.05 LOSE


TRANSLATE 15 0
1.5 1 0.5 0.5 LOSE

-0.5 9 0.5 5.5 BLOCK

-0.50 2.75 0.5 0.25 LOSE



-19.75 2.75 0.25 0.25 WIN

TRANSLATE 0 5.75

-0.50 0 0.75 0.25 LOSE
-0.50 2.4 0.75 0.25 LOSE
-0.50 4.8.75 0.25 LOSE
-0.50 7.2 0.75 0.25 LOSE
