current_square: 1
current_direction: 0.1 0


-0 2.0 0.1 0.1 PLAYER

//7 -5.0 0.1 0.1 PLAYER

0 0.0 0.5 0.5 BLOCK

0 -5.0 4 4 BLOCK

5.6 -5.0 0.5 4 LOSE
-4.5 -5.0 0.5 4 LOSE
5.4 -5.0 0.5 4 BLOCK
4.2 -3.0 0.20 0.20 LOSE SIN 0 1 2 -1,5
4.7 -6.0 0.20 0.20 LOSE SIN 0 1 2 1.5
4.2 -7.0 0.20 0.20 LOSE SIN 0 1 2 -1.5


-2 -9.2 0.2 0.2 LOSE SIN 1 0 2 -1
2 -9.7 0.2 0.2 LOSE SIN 1 0 2 1

0 -14.0 4 4 BLOCK
4.5 -14.0 0.5 4 LOSE
-5.5 -14.0 0.5 4 BLOCK

-4.8 -14.0 0.20 0.20 LOSE SIN 0 3.2 2 -1
-4.2 -14.0 0.20 0.20 LOSE SIN 0 3.2 2 1.0
-5.9 -14.0 0.2 4 LOSE

-0 -18.5 0.5 0.5 WIN
