current_square: 8
current_direction: 0.1 0.0

0 1 0.1 0.1 PLAYER
0.5 2.0 1.5 0.5 BLOCK

0.5 4.0 0.6 0.6 LOSE
2 4.0 1.8 0.5 BLOCK

4.5 6.0 1.5 0.5 BLOCK
6.5 6.0 0.5 0.5 LOSE

7.5 8.0 1.5 0.5 BLOCK
5.5 8.0 0.5 0.5 LOSE

7.5 10.0 1.0 0.5 BLOCK
9.0 10.0 0.5 0.5 LOSE

9 12.0 1.0 0.5 BLOCK
7.5 12.0 0.5 0.5 LOSE

10 14.0 1.0 0.5 BLOCK
11.5 14.0 0.5 0.5 LOSE

10 16.0 0.5 0.5 BLOCK
9 16.0 0.5 0.5 LOSE

10 18.0 0.5 0.5 BLOCK
11 18.0 0.5 0.5 LOSE

10 20.0 0.5 0.5 BLOCK
9 20.0 0.5 0.5 LOSE

10 22.0 0.5 0.5 BLOCK
11 22.0 0.5 0.5 WIN
